,roles
402,"AMAZON ALEXA MACHINE LEARNING TEAM- SOFTWARE DEVELOPMENT MANAGER - CAMBRIDGE, MA"
403,SOFTWARE DEV ENGINEER II
404,SOFTWARE DEVELOPMENT ENGINEER (BACKEND) - AWS OPSWORKS FOR CHEF AUTOMATE - BERLIN
405,TECHNICAL LEAD / SENIOR ENGINEER - UX TOOLS AND WEB PLATFORM FOR AMAZON WEB SERVICES
406,SENIOR DEVOPS ENGINEER - AWS OPSWORKS FOR CHEF AUTOMATE - BERLIN
407,"SDE, AMAZON BUSINESS"
408,"UI ARTIST, AGS"
409,SENIOR DEVELOPER DEEP LEARNING SERVICE
410,DEVELOPMENT MANAGER – AWS AI
411,"SENIOR SOFTWARE DEVELOPMENT ENGINEER, EC2 CLOUD MANAGER TEAM"
412,SOFTWARE DEVELOPER - AWS AI SERVICE
413,SOFTWARE DEVELOPER - DEEP LEARNING PLATFORM (AWS AI)
414,SOFTWARE DEVELOPER - DEEP LEARNING & BIG DATA PLATFORM (AWS AI)
415,SOFTWARE DEVELOPMENT ENGINEER - AWS TRANSACTIONAL SERVICES
416,SOFTWARE DEVELOPMENT ENGINEER - AWS CRYPTO TOOLS
417,SOFTWARE DEVELOPMENT ENGINEER - AMAZON GO
418,LINUX PLATFORM SOFTWARE ENGINEER
419,SR. SOFTWARE ENGINEER - NETWORK DEVICES EMBEDDED [NET-OS PLATFORM]
420,SOFTWARE DEVELOPMENT ENGINEER - ALEXA VOICE SERVICE
421,SR. ROBOTICS SOFTWARE ENGINEER
422,DFT DESIGN ENGINEER
423,SOFTWARE QUALITY ASSURANCE TECHNICIAN
424,SR. SOFTWARE DEVELOPMENT ENGINEER – AWS MARKETPLACE
425,SOFTWARE DEVELOPMENT ENGINEER - AWS LAMBDA
426,SOFTWARE DEVELOPMENT ENGINEER (AWS KINESIS ECOSYSTEM)
427,SOFTWARE DEVELOPMENT ENGINEER (AWS KINESIS)
428,SOFTWARE DEVELOPMENT ENGINEER - LEGAL TECHNOLOGIES
429,SOFTWARE DEVELOPMENT ENGINEER - AWS - DYNAMODB
430,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AWS - DYNAMODB
431,SOFTWARE DEVELOPMENT MANAGER - SUBSCRIPTIONS
432,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA MACHINE LEARNING"
433,SUPPORT ENGINEER
434,"SOFTWARE DEVELOPMENT ENGINEER, AMAZON MUSIC CATALOG"
435,SENIOR SOFTWARE DEVELOPMENT ENGINEER - ALEXA VOICE SERVICE
436,SW DEVELOPMENT ENGINEER
437,"SOFTWARE DEVELOPMENT ENGINEER – ALEXA LANGUAGE TECHNOLOGIES – CAMBRIDGE, MA"
438,FULLSTACK DEVELOPER - AWS SOLUTIONS ARCHITECTURE
439,STAGIAIRE INGÉNIEUR DÉVELOPPEMENT LOGICIEL (H/F) / SOFTWARE DEVELOPMENT ENGINEER INTERN (M/F) - PRIME AIR
440,AWS TECHNICAL PROGRAM MANAGER PRICING EDUCATION
441,SOFTWARE DEVELOPMENT PRICING EXPERIENCE MANAGER
442,SOFTWARE ENGINEER 2 - AWS SIMPLE MONTHLY CALCULATOR
443,SENIOR WEB DEVELOPMENT ENGINEER
444,"SOFTWARE DEVELOPMENT MANAGER – BIG DATA, AMAZON EMR"
445,SOFTWARE DEVELOPMENT ENGINEER-TEST II
446,SOFTWARE DEVELOPMENT ENGINEER - AWS AMPLIFY
447,SOFTWARE DEVELOPMENT ENGINEER - AWS DEVICE FARM
448,SOFTWARE DEVELOPMENT ENGINEER - AWS ELEMENTAL MEDIAPACKAGE
449,"SOFTWARE DEVELOPMENT ENGINEER, CONTAINER RUNTIME"
450,DEVELOPMENT MANAGER – AWS AI: BACKEND ENGINE
451,ENGINEERING MANAGER – AWS AI DEEP LEARNING
452,"SENIOR SOFTWARE DEVELOPMENT ENGINEER, SEARCH SERVICES"
453,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AWS AI DEEP LEARNING
454,SOFTWARE DEVELOPMENT ENGINEER - ALEXA VOICE SERVICE
455,SR. SDE - PERFORMANCE ADVERTISING ANALYTICS
456,SOFTWARE DEVELOPMENT ENGINEER - AWS MARKETPLACE
457,FRONT END LEAD - REPORTING AND CAMPAIGN MANAGEMENT
458,"SOFTWARE DEVELOPMENT ENGINEER, FLASH"
459,SR. SOFTWARE DEVELOPMENT ENGINEER (MUSIC/ALEXA)
460,SR. SOFTWARE DEVELOPMENT ENGINEER - AWS S3 INDEX SERVICES
461,"SENIOR SOFTWARE ENGINEER, ANDROID - ALEXA AUTO"
462,SOFTWARE DEVELOPMENT ENGINEER - ALEXA COMMUNICATIONS
463,"SR. MACHINE LEARNING ENGINEER, ALEXA EXPERIENCE AND DEVICES"
464,SOFTWARE DEV ENGINEER - ALEXA LANGUAGE TECHNOLOGIES
465,SOFTWARE DEVELOPMENT ENGINEER - DATA ENGINEERING
466,SOFTWARE DEVELOPMENT MANAGER - DATA ENGINEERING
467,SENIOR SOFTWARE DEVELOPMENT ENGINEER - COMPUTER VISION
468,"QUALITY ASSURANCE ENGINEER, ALEXA EXPERIENCE & DEVICES"
469,"MANAGER, SOFTWARE DEVELOPMENT-- ALEXA ENABLED DEVICES"
470,SENIOR SOFTWARE DEVELOPMENT ENGINEER - ALEXA COMMUNICATIONS
471,QA MANAGER
472,SENIOR SOFTWARE DEVELOPMENT MANAGER - CODE SIGNING
473,SOFTWARE DEVELOPER -- DEEP LEARNING PLATFORM
474,SOFTWARE DEVELOPMENT ENGINEER III
475,SOFTWARE DEVELOPMENT ENGINEER - ALEXA DEEP PRODUCT KNOWLEDGE
476,SOFTWARE DEVELOPMENT ENGINEER - AMAZON REKOGNITION
477,"SOFTWARE DEVELOPMENT ENGINEER, AWS ELASTIC LOAD BALANCING"
478,SENIOR SOFTWARE DEVELOPMENT ENGINEER - ALEXA -  PRODUCT KNOWLEDGE
479,"SOFTWARE DEVELOPMENT ENGINEER, CRITICAL APPLICATIONS AND BACK END SERVICES"
480,SOFTWARE DEVELOPMENT ENGINEER - AWS BUILDER TOOLS
481,SR. SOFTWARE ENGINEER
482,"RESEARCH ENGINEER, ALEXA"
483,"ML RESEARCH/SOFTWARE ENGINEER, ALEXA"
484,CV/ML - SOFTWARE DEVELOPMENT ENGINEER
485,"SR. SOFTWARE DEVELOPMENT ENGINEER, SMART HOME"
486,SENIOR SOFTWARE ENGINEER - SIMULATION
487,"SENIOR MANAGER, DEVELOPMENT, EMERGING PRODUCTS"
488,"SOFTWARE DEVELOPMENT ENGINEER II, HOME INNOVATION TEAM"
489,AWS CERTIFICATE MANAGER - SR SOFTWARE DEVELOPMENT ENGINEER
490,"SOFTWARE DEVELOPMENT ENGINEER, EC2 VIRTUAL PRIVATE CLOUD"
491,"SR. MANAGER - SOFTWARE DEVELOPMENT, SPONSORED PRODUCTS"
492,MACHINE LEARNING ENGINEER
493,"SOFTWARE DEVELOPMENT ENGINEER – ALEXA, ECHO, SKILLS"
494,"DATA ENGINEER, NATURAL LANGUAGE PROCESSING (NLP) - AMAZON AI"
495,"SENIOR SOFTWARE ENGINEER, NATURAL LANGUAGE UNDERSTANDING - AMAZON AI"
496,SENIOR SOFTWARE DEV ENGINEER
497,SOFTWARE DEVELOPMENT ENGINEER - BIG DATA (ADVERTISING ANALYTICS)
498,"SOFTWARE DEVELOPMENT ENGINEER - TEST, ALEXA AUTOMOTIVE"
499,SENIOR SOFTWARE DEVELOPMENT ENGINEER - ELASTICSEARCH
500,"SR MANAGER - MACHINE LEARNING PLATFORMS, AMAZON AI"
501,SR. SOFTWARE DEVELOPMENT ENGINEER - COMIXOLOGY
502,"SOFTWARE DEVELOPMENT MANAGER - ELASTIC FILE SYSTEMS - BOSTON, MA"
503,SOFTWARE DEVELOPMENT ENGINEER - CONTENT AUTOMATION - AMAZON PRIME VIDEO
504,"SOFTWARE DEVELOPMENT ENGINEER, CONTINUOUS DEPLOYMENT"
505,TTS LANGUAGE ENGINEER (PAID INTERN)
506,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AWS GLOBAL INFRASTRUCTURE
507,APPLIED SCIENTIST - COMPLIANCE OPERATIONS TECH TEAM
508,SOFTWARE DEVELOPMENT ENGINEER - COMPLIANCE OPERATIONS TECH TEAM
509,SOFTWARE DEVELOPMENT MANAGER - AD PLATFORM
510,SOFTWARE DEVELOPMENT MANAGER (AMAZON MUSIC)
511,SOFTWARE DEVELOPMENT MANAGER IN QA
512,PRINCIPAL PRODUCT MANAGER -TECHNICAL
513,SOFTWARE DEVELOPMENT ENGINEER - EC2 PRICING & LAUNCH SERVICES
514,"SR. MANAGER, SOFTWARE DEVELOPMENT"
515,SENIOR SOFTWARE DEVELOPMENT MANAGER - AI AND BIG DATA
516,"SOFTWARE DEVELOPMENT ENGINEER – BIG DATA, AWS ELASTIC MAPREDUCE (EMR)"
517,SOFTWARE DEVELOPMENT ENGINEER - COMIXOLOGY
518,SOFTWARE DEVELOPMENT ENGINEER (FULLSTACK)
519,"SOFTWARE DEVELOPMENT ENGINEER - BACKEND, AWS (AMAZON WORKMAIL)"
520,TTS LANGUAGE ENGINEER (TAMIL AND INDIAN ENGLISH)
521,"SR MANAGER, SOFTWARE DEVELOPMENT - AWS MARKETPLACE"
522,SOFTWARE DEVELOPMENT MANAGER - ALEXA ENGINE
523,SENIOR DATA SCIENCES ENGINEER - ADVERTISING TECHNOLOGY
524,"SOFTWARE DEVELOPMENT ENGINEER - AMAZON ALEXA IOT- CAMBRIDGE, MASSACHUSETTS"
525,"SENIOR SOFTWARE DEVELOPMENT ENGINEER - AMAZON ALEXA - CAMBRIDGE, MASSACHUSETTS"
526,"SOFTWARE DEV ENGINEER, EC2 SECURITY"
527,SOFTWARE DEVELOPMENT MANAGER  – NEW WORLD
528,WEB DEVELOPMENT ENGINEER - AMAZON CONNECT
529,SOFTWARE DEVELOPMENT ENGINEER - NOSQL DATABASES
530,SR SOFTWARE DEVELOPMENT ENGINEER - AWS CLOUDTRAIL
531,SOFTWARE DEVELOPMENT ENGINEER - AWS CLOUDTRAIL
532,"SOFTWARE DEV ENGINEER - AWS GLACIER, COLD STORAGE"
533,"SOFTWARE DEVELOPMENT MANAGER, ALEXA MUSIC"
534,"SOFTWARE DEVELOPMENT ENGINEER III, AWS MACHINE LEARNING SERVICE"
535,"SOFTWARE DEVELOPMENT ENGINEER II, AWS MACHINE LEARNING SERVICE"
536,SOFTWARE DEVELOPMENT MANAGER - ALEXA MACHINE LEARNING PLATFORM
537,SYSTEM DEVELOPMENT MANAGER
538,"SR. TECHNICAL PROGRAM MANAGER, ALEXA EXPERIENCE AND DEVICES"
539,SENIOR SOFTWARE DEVELOPMENT ENGINEER - ALEXA CUSTOMER BEHAVIOR
540,"AMAZON - SOFTWARE DEVELOPER IN TEST (SDET) - BOSTON, MA"
541,"SOFTWARE DEVELOPER - ALEXA DATA SERVICES - BOSTON, MA"
542,"SOFTWARE DEVELOPMENT ENGINEER, PROMOTIONS PLATFORM"
543,SOFTWARE ENGINEER - AWS SECURITY
544,SOFTWARE DEVELOPMENT MANAGER - MACHINE TRANSLATION MODELING
545,"SOFTWARE DEVELOPMENT ENGINEER, IDENTITY AND AUTHENTICATION"
546,"SENIOR SOFTWARE ENGINEER, PICKING INNOVATION, AMAZON FULFILLMENT TECHNOLOGY"
547,SOFTWARE DEVELOPMENT ENGINEER - AWS S3 FRONTEND SERVICES
548,"SOFTWARE DEVELOPMENT ENGINEER, AWS (EC2 AUTO SCALING)"
549,"SOFTWARE ENGINEER- BIG DATA, AWS PINPOINT"
550,"SOFTWARE ENGINEER - BIG DATA, AWS PINPOINT"
551,SOFTWARE ENGINEER  -BIG DATA AND ANALYTICS
552,"SOFTWARE DEVELOPMENT ENGINEER 2, PROMOTIONS PLATFORM"
553,SENIOR SOFTWARE ENGINEER - COMPILERS
554,SOFTWARE ENGINEER -  SEARCH DATA AGGREGATOR (SDA) TEAM
555,"SOFTWARE ENGINEER, AWS IDENTITY AND ACCESS MANAGEMENT"
556,SOFTWARE DEVELOPMENT MANAGER - AWS CLOUD DIRECTORY
557,SOFTWARE DEVELOPMENT ENGINEER - AWS SSO
558,SOFTWARE DEVELOPMENT ENGINEER - AWS IDENTITY & ACCESS - IDENTITY FEDERATION
559,SOFTWARE DEVELOPMENT ENGINEER - AWS CLOUD DIRECTORY
560,WEBSITE DEVELOPMENT ENGINEER
561,SOFTWARE DEVELOPMENT ENGINEER - AWS S3
562,SOFTWARE ENGINEER - ALEXA
563,"SOFTWARE DEVELOPMENT ENGINEER, AWS MESSAGING"
564,SOFTWARE DEVELOPMENT ENGINEER WITH AMAZON AWS
565,AWS SECURITY SOFTWARE DEVELOPMENT MANAGER
566,AWS SOFTWARE DEVELOPMENT MANAGER
567,UI ARTIST
568,SOFTWARE DEVELOPMENT ENGINEER - AWS ORCHESTRATION SERVICES
569,SOFTWARE DEVELOPMENT ENGINEER - III
570,SR. SOFTWARE DEVELOPMENT ENGINEER
571,AMAZON WEB SERVICES - SOFTWARE DEVELOPER
572,SOFTWARE DEVELOPMENT ENGINEER - ANDROID
573,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AMAZON KINESIS (NEW INITIATIVE)
574,SOFTWARE DEVELOPMENT ENGINEER - AMAZON KINESIS (NEW INITIATIVE)
575,AWS S3 SENIOR SOFTWARE DEVELOPMENT ENGINEER
576,SOFTWARE DEVELOPMENT ENGINEER
577,SYSTEM DEVELOPMENT ENGINEER
578,PRINCIPAL CONSULTANT - APPLICATION PLATFORM
579,SENIOR FULL STACK DEVELOPER (TEAM LEAD)
580,"SOFTWARE DEVELOPMENT MANAGER, LAST MILE TECHNOLOGY"
581,SOFTWARE DEVELOPMENT ENGINEER - AWS INSIGHTS
582,SOFTWARE DEV ENGINEER- ALEXA SMART HOME
583,SENIOR CONSULTANT - APPLICATION PLATFORM
584,SENIOR SOFTWARE DEVELOPMENT ENGINEER AWS EC2 EBS
585,AMAZON CHIME ENGINEER - PROFILE SERVICE
586,"SOFTWARE DEVELOPMENT ENGINEER II, PERFORMANCE ENGINEERING"
587,SOFTWARE DEVELOPMENT ENGINEER AWS EC2 EBS
588,SOFTWARE DEVELOPMENT ENGINEER | AMAZON EXPORTS & EXPANSION
589,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AWS CRYPTO TOOLS
590,SR SOFTWARE ENGINEER - ROBOTICS
591,SOFTWARE DEVELOPMENT ENGINEER - TEST
592,"SOFTWARE DEVELOPMENT ENGINEER - WORKSPACE MANAGEMENT SUITE FOR AWS WORKSPACES - BELLEVUE, WA"
593,SOFTWARE ENGINEER
594,SR. SOFTWARE ENGINEER
595,SENIOR SOFTWARE DEVELOPMENT MANAGER - ADVERTISING ANALYTICS
596,"SENIOR SOFTWARE DEVELOPMENT ENGINEER - APP STREAMING AND ENTERPRISE TOOLS FOR AWS WORKSPACES - BELLEVUE, WA"
597,SENIOR SOFTWARE DEVELOPMENT ENGINEER – INTERNET OF THINGS (IOT)
598,SOFTWARE DEVELOPMENT ENGINEER – INTERNET OF THINGS (IOT)
599,WEB DEVELOPMENT ENGINEER – INTERNET OF THINGS (IOT)
600,"SOFTWARE DEVELOPMENT MANAGER, AWS SDKS FOR JAVA AND .NET"
601,"SOFTWARE DEVELOPMENT MANAGER, AMAZON PRIME VIDEO - ACQUISITIONS TEAM"
602,SOFTWARE DEVELOPMENT ENGINEER - AMAZON S3
603,"SOFTWARE DEVELOPMENT ENGINEER, HPC"
604,"SENIOR SOFTWARE ENGINEER, ECS"
605,"SENIOR SOFTWARE DEVELOPMENT ENGINEER - SDE3 / ARCHITECT AWS | AMAZON ELASTICSEARCH SERVICE, AMAZON CLOUDSEARCH"
606,SENIOR SOFTWARE DEVELOPMENT ENGINEER - EC2
607,"SOFTWARE DEVELOPMENT ENGINEER, MAPS AND ROUTING"
608,WEB DEVELOPMENT ENGINEER - AWS MOBILE HUB
609,SENIOR SOFTWARE DEVELOPER - AWS AI SERVICE
610,SOFTWARE DEVELOPMENT ENGINEER INTERN
611,SOFTWARE DEVELOPMENT MANAGER - RECRUITING EVENT IN HOUSTON WITH RELOCATION TO SEATTLE
612,SENIOR SOFTWARE DEVELOPMENT ENGINEER RECRUITING EVENT IN HOUSTON WITH RELOCATION TO SEATTLE
613,SOFTWARE DEVELOPMENT ENGINEER RECRUITING EVENT IN HOUSTON WITH RELOCATION TO SEATTLE
614,SOFTWARE DEVELOPMENT ENGINEER: DEEP LEARNING: MXNET ENGINE
615,SOFTWARE DEVELOPMENT ENGINEER: MACHINE LEARNING SERVICE
616,SOFTWARE DEVELOPMENT ENGINEER - SELF SERVICE ADVERTISING
617,SENIOR SOFTWARE DEV ENGINEER / TECH LEAD - AWS DEV TOOLS
618,SOFTWARE DEVELOPMENT ENGINEER - KINDLE EDUCATION
619,"SOFWARE DEVELOPMENT MANAGER, ALEXA SMART HOME"
620,"SOFTWARE DEVELOPMENT ENGINEER, SPEECH AND LANGUAGE TECHNOLOGIES"
621,COMPUTER VISION APPLIED SCIENTIST
622,SOFTWARE DEVELOPMENT ENGINEER - AWS MOBILE HUB
623,"SENIOR SOFTWARE ENGINEER, ALEXA SMART HOME"
624,"SOFTWARE DEVELOPMENT ENGINEER, BIG DATA"
625,SENIOR AUDIO FIRMWARE ENGINEER
626,FULL STACK SOFTWARE DEVELOPMENT ENGINEER
627,SYSTEM DEVELOPMENT ENGINEER
628,SOFTWARE DEVELOPMENT ENGINEER - AWS DYNAMODB
629,SR. SOFTWARE DEVELOPMENT ENGINEER - IOS / ANDROID FOR NEW VIDEO PRODUCTS
630,SOFTWARE DEVELOPMENT ENGINEER - AMAZON VIDEOS CUSTOMER ENGAGEMENT CHANNELS
631,"SOFTWARE DEVELOPMENT ENGINEER, ICE TEAM (SYSTEMS INTELLIGENCE)"
632,"SOFTWARE DEV ENGINEER - AWS GLACIER, COLD STORAGE"
633,SOFTWARE DEVELOPMENT ENGINEER - AWS S3 - CX
634,S3 STORAGE ANALYTICS SENIOR SOFTWARE DEVELOPMENT ENGINEER
635,SR. WEB DEVELOPMENT ENGINEER - AWS - AMAZON CLOUDWATCH
636,SR. SOFTWARE DEVELOPMENT ENGINEER - AWS - AMAZON CLOUDWATCH
637,SOFTWARE DEVELOPMENT ENGINEER - AWS - AMAZON CLOUDWATCH
638,SOFTWARE DEVELOPMENT MANAGER - AMAZON CLOUDWATCH
639,DEVOPS ENGINEER - CLOUDWATCH
640,SOFTWARE DEVELOPMENT ENGINEER - CLOUDWATCH
641,"SOFTWARE DEV ENGINEER II, AWS"
642,"AMAZON WEB SERVICES (DMS) - SOFTWARE DEVELOPER - BOSTON, MA"
643,SOFTWARE DEVELOPMENT ENGINEER-ALEXA HOME AUTOMATION
644,SOFTWARE DEVELOPMENT MANAGER - AWS
645,"SR. MANAGER SOFTWARE DEVELOPMENT, PICKING & ORCHESTRATION PLATFORM, FULFILLMENT TECHNOLOGY"
646,"SR. SOFTWARE ENGINEER, CATALOG ITEM RELATIONSHIPS"
647,"SENIOR SOFTWARE DEVELOPMENT ENGINEER, AMAZON EKS"
648,APPLIED SCIENTIST- AUDIO
649,"SR. SOFTWARE DEVELOPMENT ENGINEER, SIMULATION"
650,SOFTWARE DEVELOPMENT ENGINEER - AWS MARKETING
651,SR. MGR. SOFTWARE DEVELOPMENT
652,"SR MGR, SOFTWARE DEVELOPMENT - VOICE SHOPPING"
653,"SOFTWARE DEVELOPMENT ENGINEER, AWS INTERNET OF THINGS (IOT) ANALYTICS"
654,"SENIOR SOFTWARE DEVELOPMENT ENGINEER, AWS ELASTIC LOAD BALANCING"
655,SOFTWARE DEVELOPMENT ENGINEER - ALEXA CUSTOMER BEHAVIOR
656,"RESEARCH/SOFTWARE DEVELOPMENT ENGINEER, ALEXA"
657,"SR SOFTWARE DEVELOPMENT ENGINEER - AMAZON ALEXA MACHINE LEARNING TEAM- CAMBRIDGE, MASSACHUSETTS"
658,SOFTWARE DEVELOPMENT MANAGER - ALEXA CUSTOMER BEHAVIOR
659,"SOFTWARE DEVELOPMENT MANAGER, ALEXA"
660,"SR. SOFTWARE DEVELOPMENT ENGINEER, ALEXA CUSTOMER EXPERIENCE"
661,"SR. TECHNICAL PROGRAM MANAGER, ALEXA SMART HOME"
662,SR. SOFTWARE DEVELOPMENT MANAGER - SIMULATION
663,SR. MANAGER SOFTWARE DEVELOPMENT
664,SENIOR RESEARCH SCIENTIST - AUDIO
665,SENIOR SOFTWARE DEVELOPMENT ENGINEER BLUETOOTH – WEARABLES & IOT
666,SOFTWARE DEVELOPMENT MANAGER - ALEXA VOICE SERVICES
667,"SR. SOFTWARE DEVELOPMENT ENGINEER, VIDEO CONTENT MANAGEMENT PLATFORM"
668,"SOFTWARE DEVELOPMENT MANAGER, AMAZON MUSIC CATALOG"
669,SOFTWARE DEVELOPMENT ENGINEER - ELASTIC COMPUTE CLOUD (EC2)
670,SOFTWARE DEVELOPMENT ENGINEER II - ALEXA DEEP PRODUCT KNOWLEDGE
671,"SR. MANAGER, SOFTWARE DEVELOPMENT, MOBILE VIDEO"
672,SOFTWARE DEVELOPMENT ENGINEER - PRIME VIDEO
673,"SR. SOFTWARE DEVELOPMENT ENGINEER, AMAZON ALEXA IDENTITY"
674,SOFTWARE DEVELOPMENT MANAGER - AMAZON PINPOINT
675,AWS AI SOFTWARE DEVELOPMENT ENGINEER
676,"SOFTWARE DEVELOPMENT ENGINEER - AUSTRALIA HIRING EVENT, MARCH 2018"
677,SOFTWARE ENGINEER - AMAZON VIDEO
678,SOFTWARE DEV MANAGER
679,SENIOR SOFTWARE DEV ENGINEER
680,SR SOFTWARE DEVELOPMENT MANAGER
681,"SENIOR SOFTWARE DEVELOPMENT MANAGER, AWS SSO"
682,SENIOR SOFTWARE DEV ENGINEER - EC2 P&L SERVICES
683,SENIOR SOFTWARE DEVELOPMENT ENGINEER - EC2 SPOT
684,SOFTWARE DEVELOPMENT ENGINEER - KINDLE B2B PLATFORM
685,SOFTWARE DEVELOPMENT ENGINEER INTERN
686,SOFTWARE DEVELOPMENT ENGINEER | S3 STORAGE
687,"SR. SOFTWARE DEVELOPMENT ENGINEER, ALEXA SPEECH AND LANGUAGE TECHNOLOGIES"
688,SOFTWARE DEVELOPMENT ENGINEER – AMAZON WEB SERVICES (AWS) EC2 CLOUDWATCH
689,SOFTWARE DEVELOPMENT ENGINEER / INGÉNIEUR DÉVELOPPEMENT LOGICIEL (M/F) - PRIME AIR
690,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AWS CRYPTOGRAPHY
691,PRINCIPAL COMPUTER VISION SCIENTIST
692,SENIOR TPM
693,SYSTEM DEVELOPMENT ENGINEER – AMAZON WEB SERVICES (AWS) EC2 CLOUDWATCH
694,SOFTWARE DEVELOPMENT ENGINEER – AMAZON WEB SERVICES (AWS) CLOUDWATCH
695,SOFTWARE DEVELOPMENT ENGINEER - IOS/ANDROID - AMAZON PHOTOS
696,SOFTWARE DEVELOPMENT ENGINEER - SDE2 / AWS | SEARCH SERVICES
697,BLITZ POOLING REQ -SOFTWARE DEVELOPMENT ENGINEER
698,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2199
699,SOFTWARE DEV ENGINEER - FULL STACK / JAVA SERVICES
700,SOFTWARE DEVELOPMENT ENGINEER - AMAZON CHIME VIDEO
701,"SOFTWARE DEVELOPMENT MANAGER, AMAZON CHIME AUDIO"
702,"SENIOR SOFTWARE ENGINEER, AWS LAMBDA"
703,SR. SOFTWARE DEVELOPMENT ENGINEER - AMAZON ALEXA
704,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA DOMAINS"
705,PRAKTIKUM SOFTWARE DEVELOPMENT 2018 (M/W)
706,DEV OPS ENGINEER
707,IOT SOFTWARE DEV ENGINEER
708,IOT SOFTWARE DEVELOPMENT MANAGER
709,IOT LAB SOFTWARE DEVELOPMENT ENGINEER
710,SOFTWARE DEV ENGINEER I
711,SOFTWARE DEVELOPMENT ENGINEER- AWS INTERNET OF THINGS (IOT) TEAM
712,"SOFTWARE DEVELOPMENT MANAGER, AMAZON FREERTOS"
713,"SOFTWARE DEV ENGINEER - TEST,  ALEXA"
714,SENIOR SOFTWARE DEVELOPMENT ENGINEER (MACHINE LEARNING)
715,"SOFTWARE DEVELOPMENT ENGINEER - FULL STACK, ALEXA"
716,ALEXA SOFTWARE DEVELOPMENT ENGINEER
717,WEB DEVELOPMENT ENGINEER - AMZ2268
718,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AWS S3 CONSOLE
719,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA SPEECH AND LANGUAGE TECHNOLOGIES"
720,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA ENGINE - BOSTON, MA"
721,"SOFTWARE DEVELOPMENT MANAGER, ALEXA SPEECH AND LANGUAGE TECHNOLOGIES"
722,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA ENGINE - SUNNYVALE, CA"
723,TTS LANGUAGE ENGINEER FOR JAPANESE - INTERN
724,"AMAZON: SENIOR SOFTWARE DEVELOPMENT ENGINEER - MACHINE LEARNING TEAM - CAMBRIDGE, MA"
725,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA ENGINE - SEATTLE, WA"
726,SOFTWARE DEVELOPMENT ENGINEER - AWS EC2
727,SENIOR TECHNICAL PROGRAM MANAGER- TRANSPORTATION TECHNOLOGY
728,SENIOR SOFTWARE DEVELOPMENT ENGINEER- AWS MARKETPLACE
729,SOFTWARE DEVELOPMENT ENGINEER- AWS MARKETPLACE
730,"WEB DEVELOPER ENGINEER, AWS MARKETPLACE"
731,"TOOLS ENGINEER, AMAZON GAME STUDIOS"
732,SENIOR KERNEL DEVELOPMENT ENGINEER - AWS INTERNET OF THINGS (IOT) TEAM
733,WEB DEVELOPMENT ENGINEER
734,"SOFTWARE DEVELOPMENT ENGINEER, AWS ALEXA FOR BUSINESS"
735,"SDE, TELECOM CONTROL PLANE"
736,LIVE STREAMING - SOFTWARE DEVELOPMENT ENGINEER (PRIME VIDEO)
737,"SOFTWARE DEVELOPMENT ENGINEER 2, FULL-STACK UI DEVELOPER"
738,"SOFTWARE DEVELOPER - AWS DIRECT CONNECT - HERNDON, VA"
739,SOFTWARE DEV ENGINEER - MOBILE APPS (IOS OR ANDROID)
740,SOFTWARE DEVELOPMENT ENGINEER - COMPUTER VISION FRAMEWORKS/ACCELERATION
741,"SOFTWARE DEVELOPMENT ENGINEER, AWS LEX"
742,"SOFTWARE DEVELOPMENT ENGINEER I, RDS"
743,"SR. SOFTWARE ENGINEER, AMAZON REGISTRY SERVICES"
744,"SOFTWARE DEVELOPMENT ENGINEER II, AMAZON REGISTRY SERVICES"
745,SOFTWARE DEVELOPMENT ENGINEER (AMAZON S3)
746,AMAZON WEB SERVICES (RDS) - SOFTWARE DEVELOPMENT MANAGER - VANCOUVER
747,"SOFTWARE DEVELOPMENT MANAGER, AWS MOBILE"
748,SOFTWARE DEVELOPMENT ENGINEER – AWS MARKETPLACE
749,"SENIOR SOFTWARE DEVELOPMENT ENGINEER, ALEXA AUTOMOTIVE"
750,SR. SOFTWARE DEVELOPMENT ENGINEER - EMBEDDED
751,"MANAGER, TECHNICAL PROGRAM MANAGEMENT"
752,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA VOICE SERVICES, AUTOMOTIVE"
753,SDE - ALEXA ENGINE
754,DISTRIBUTED SYSTEMS ENGINEER - AWS - NEXT GENERATION LOG DATA STORE
755,"SOFTWARE DEVELOPMENT MANAGER - BELGRADE HIRING EVENT, FEBRUARY 2018"
756,"SOFTWARE DEVELOPMENT ENGINEER - BELGRADE HIRING EVENT, FEBRUARY 2018"
